,precision,recall,f1-score,support
Non-Sarcastic,0.5222997128289281,1.0,0.6861982675649663,26736.0
Sarcastic,0.0,0.0,0.0,24453.0
accuracy,0.5222997128289281,0.5222997128289281,0.5222997128289281,0.5222997128289281
macro avg,0.26114985641446403,0.5,0.34309913378248313,51189.0
weighted avg,0.27279699002118074,0.5222997128289281,0.35840115809288986,51189.0
