epoch,train_loss,train_acc
0,0.1669624000787735,0.609375
1,0.16191838681697845,0.609375
2,0.14903336763381958,0.609375
3,0.2123502492904663,0.5
4,0.188062846660614,0.5546875
5,0.16426104307174683,0.5546875
6,0.1795903742313385,0.5546875
7,0.1729736030101776,0.5546875
8,0.12265712022781372,0.6640625
9,0.1052851751446724,0.6640625
10,0.07160007953643799,0.7890625
11,0.02198592945933342,0.859375
12,0.04355822503566742,0.90625
13,0.0246085487306118,0.953125
14,0.012400656007230282,0.9921875
15,0.0021019126288592815,1.0
16,0.0007036261959001422,1.0
17,0.00047058024210855365,1.0
18,0.0009061618475243449,1.0
19,0.00023629129282198846,1.0
20,0.0001541418896522373,1.0
21,2.9071791232126998e-06,1.0
22,5.817741111968644e-06,1.0
23,1.4699626262881793e-06,1.0
24,2.663990017026663e-06,1.0
25,4.2335595935583115e-05,1.0
26,0.00012601753405760974,1.0
27,1.5514542610617355e-06,1.0
28,3.3360443921992555e-05,1.0
29,3.85820982273799e-07,1.0
30,6.329034363261599e-07,1.0
31,1.3141454473952763e-05,1.0
32,0.00017599703278392553,1.0
33,0.0001490052236476913,1.0
34,0.00011057550000259653,1.0
35,1.752380012476351e-05,1.0
36,5.474918225445435e-07,1.0
37,5.889769738587347e-08,1.0
38,3.658591936073208e-07,1.0
39,1.446511674885187e-07,1.0
40,4.365794211480534e-06,1.0
41,4.3661871131917e-06,1.0
42,5.1709002946154214e-06,1.0
43,3.2267648553130357e-09,1.0
44,1.6542294360988308e-06,1.0
45,1.1321853889967315e-05,1.0
46,2.959242806355178e-07,1.0
47,8.867004339663254e-07,1.0
48,2.451013756399334e-07,1.0
49,3.9673300307185855e-06,1.0
