,precision,recall,f1-score,support
Non-Sarcastic,0.6207910208444682,1.0,0.7660346248969497,2323.0
Sarcastic,0.0,0.0,0.0,1419.0
accuracy,0.6207910208444682,0.6207910208444682,0.6207910208444682,0.6207910208444682
macro avg,0.3103955104222341,0.5,0.38301731244847487,3742.0
weighted avg,0.385381491561117,0.6207910208444682,0.4755474167919867,3742.0
